06-08-2019 10:29:48.000 +	ZET7156_X (08)	ZET7156_Y (09)	ZET7156_Z (10)	
c	мм/с	мм/с	мм/с	
1,134	-0,0190439	-0,06854	-0,0717318
1,136	0,0178038	-0,0804951	-0,0578187
1,138	0,0106529	-0,0906316	-0,0614542
1,14	-0,0275977	-0,0828392	-0,0642688
1,142	-0,00114366	-0,0674598	-0,051266
1,144	0,0339336	-0,081119	-0,0668764
1,146	0,00851262	-0,105565	-0,0699026
1,148	-0,0212271	-0,0754583	-0,0427271
1,15	0,00274237	-0,0342017	-0,0453204
1,152	0,0284597	-0,0566124	-0,0910395
1,154	0,0130081	-0,104799	-0,0705526
1,156	-0,00249264	-0,0850586	-0,0266553
1,158	0,0234471	-0,0565841	-0,0518507
1,16	0,0286829	-0,0753967	-0,0794712
1,162	0,00284578	-0,0796012	-0,0533152
1,164	-0,00101633	-0,0646188	-0,0482233
1,166	0,0184583	-0,0601717	-0,0788247
1,168	0,0151555	-0,0694988	-0,0761249
1,17	0,0010815	-0,0804674	-0,0426831
1,172	0,00195953	-0,0863167	-0,0454142
1,174	0,0179324	-0,0730103	-0,0679958
1,176	0,0219764	-0,0712505	-0,0777984
1,178	0,00398586	-0,0755111	-0,0740908
1,18	-0,00472617	-0,07324	-0,0657748
1,182	0,00638242	-0,073535	-0,0605953
1,184	0,0126386	-0,0927656	-0,0600844
1,186	-0,0109142	-0,0919223	-0,0572511
1,188	-0,00562485	-0,0634541	-0,0614266
1,19	0,0161918	-0,0839268	-0,0784234
1,192	-0,00114107	-0,107426	-0,0797678
1,194	-0,0177335	-0,0755651	-0,0512463
1,196	-0,000146898	-0,0588135	-0,04534
1,198	-0,00686028	-0,107949	-0,0672622
1,2	-0,035656	-0,120584	-0,0678713
1,202	-0,0149084	-0,073841	-0,0499853
1,204	0,0090873	-0,0697451	-0,0533089
1,206	-0,0079592	-0,104258	-0,0614844
1,208	-0,0209451	-0,10557	-0,0643547
1,21	-0,00147535	-0,0856634	-0,0638592
1,212	-0,0123736	-0,092806	-0,0552399
1,214	-0,0297454	-0,0957356	-0,034651
1,216	-0,00590822	-0,0855361	-0,0550265
1,218	0,00334258	-0,10126	-0,0798341
1,22	-0,0173109	-0,0988828	-0,0569215
1,222	-0,019107	-0,0766311	-0,0368534
1,224	-0,00933653	-0,0924089	-0,0661515
1,226	-0,0141154	-0,112339	-0,0751332
1,228	-0,0125632	-0,0944482	-0,0476273
1,23	-0,0153971	-0,0859495	-0,0502023
1,232	-0,0215028	-0,0920923	-0,0574894
1,234	-0,0199954	-0,0830859	-0,0625219
1,236	-0,00364392	-0,0980465	-0,0699422
1,238	-0,0162914	-0,102242	-0,0726822
1,24	-0,0348223	-0,0758405	-0,0544199
1,242	-0,0101128	-0,0956944	-0,0482644
1,244	0,00484204	-0,123299	-0,0640251
1,246	-0,0331774	-0,0799164	-0,0658306
1,248	-0,0325065	-0,0514204	-0,061731
1,25	-0,010914	-0,105696	-0,0719809
1,252	-0,0362818	-0,118463	-0,0715589
1,254	-0,0322123	-0,0693523	-0,0460462
1,256	-0,00262973	-0,0811142	-0,0359987
1,258	-0,0233945	-0,110374	-0,0716524
1,26	-0,0428585	-0,0946476	-0,0846524
1,262	-0,0207414	-0,0684493	-0,0619356
1,264	-0,0175807	-0,0721518	-0,0469398
1,266	-0,0376669	-0,0891188	-0,0489789
1,268	-0,0296478	-0,092011	-0,0650834
1,27	-0,00426784	-0,102353	-0,0700248
1,272	-0,00678007	-0,0868297	-0,0584498
1,274	-0,0228697	-0,0508334	-0,0518241
1,276	-0,0234222	-0,0729028	-0,0634738
1,278	-0,0129771	-0,0960443	-0,0705204
1,28	-0,0127058	-0,074873	-0,0603732
1,282	-0,0167784	-0,0697585	-0,0466934
1,284	-0,0060802	-0,0867511	-0,0453192
1,286	-0,0108808	-0,0814811	-0,0668265
1,288	-0,00585067	-0,0673247	-0,0761415
1,29	-0,00156947	-0,0713899	-0,0547524
1,292	-0,0227603	-0,0628071	-0,0491342
1,294	-0,00525617	-0,076885	-0,0572496
1,296	0,0187857	-0,0980334	-0,0545217
1,298	-0,0169685	-0,0747398	-0,0559581
1,3	-0,0143458	-0,0546149	-0,0551718
1,302	0,0240599	-0,0768018	-0,061588
1,304	-0,00150209	-0,0855943	-0,0669444
1,306	-0,0197767	-0,0662158	-0,048078
1,308	0,00447574	-0,0736281	-0,0424866
1,31	0,00557197	-0,0990773	-0,0700503
1,312	-0,0108073	-0,0944851	-0,066171
1,314	-0,00180773	-0,0688736	-0,0299394
1,316	0,00326965	-0,0630273	-0,0474107
1,318	-0,0165239	-0,0862704	-0,0859666
1,32	-0,0172904	-0,0976774	-0,0699725
1,322	0,0145945	-0,0940943	-0,0398831
1,324	0,0123121	-0,0854383	-0,0450667
1,326	-0,0185264	-0,0714952	-0,0561978
1,328	-0,00859213	-0,0915408	-0,0631504
1,33	0,0141231	-0,11035	-0,0835199
1,332	-0,00350525	-0,0740972	-0,070098
1,334	-0,0089924	-0,0590766	-0,0363703
1,336	0,0182109	-0,112634	-0,0533587
1,338	0,00904397	-0,122432	-0,0969079
1,34	-0,00888	-0,0795627	-0,0711255
1,342	0,0124929	-0,0761332	-0,0161268
1,344	0,0107681	-0,0827451	-0,0675386
1,346	-0,00975345	-0,0870757	-0,118097
1,348	0,00914539	-0,104703	-0,064844
1,35	0,026871	-0,105617	-0,0173428
1,352	0,00634562	-0,0826079	-0,0536944
1,354	0,00550118	-0,0764983	-0,0776045
1,356	0,0224971	-0,0989694	-0,0722828
1,358	0,0187572	-0,106558	-0,0702021
1,36	-0,00174594	-0,0710939	-0,0581824
1,362	0,00622528	-0,0643077	-0,0391317
1,364	0,0326075	-0,115895	-0,0557879
1,366	0,0249923	-0,130503	-0,0807641
1,368	-0,00507616	-0,0721137	-0,0658577
1,37	0,00948525	-0,0603501	-0,0366459
1,372	0,0189804	-0,102659	-0,0604931
1,374	0,00521856	-0,102529	-0,092371
1,376	0,00859492	-0,091195	-0,0470254
1,378	0,00915771	-0,0864865	-0,0246448
1,38	0,00353324	-0,0980109	-0,0725203
1,382	0,0128918	-0,105996	-0,0880809
1,384	0,0109397	-0,0905286	-0,0397216
1,386	-0,00765003	-0,0696125	-0,0367136
1,388	0,00126844	-0,0874668	-0,0696446
1,39	0,00985393	-0,11196	-0,0681976
1,392	0,0147036	-0,103599	-0,0558501
1,394	0,0175164	-0,0886648	-0,0546814
1,396	-0,00674538	-0,0785277	-0,0484883
1,398	-0,0284122	-0,0936221	-0,046293
1,4	0,00816034	-0,103161	-0,068498
1,402	0,0263354	-0,0879503	-0,0773403
1,404	0,00135098	-0,0879346	-0,041386
1,406	0,00674329	-0,10385	-0,0327538
1,408	0,0103025	-0,0923757	-0,0795628
1,41	-0,00206502	-0,0792335	-0,072162
1,412	-0,00773762	-0,085953	-0,0275899
1,414	-0,00869627	-0,0801275	-0,0572362
1,416	0,00827746	-0,0828711	-0,0918961
1,418	0,0298955	-0,109352	-0,0508997
1,42	0,0155522	-0,109915	-0,0360789
1,422	0,0064345	-0,0731252	-0,0721053
1,424	0,00151767	-0,0585587	-0,0743032
1,426	-0,0168222	-0,0887298	-0,0593272
1,428	-0,00152126	-0,116257	-0,0664538
1,43	0,0163538	-0,0849722	-0,0618514
1,432	0,0111435	-0,0589362	-0,0474847
1,434	0,00703521	-0,113388	-0,0549301
1,436	0,00737396	-0,121575	-0,0691445
1,438	-0,00601668	-0,0534482	-0,0686152
1,44	-0,00928382	-0,0504779	-0,0621183
1,442	-0,0118544	-0,112853	-0,0587002
1,444	-0,00692322	-0,122419	-0,0488581
1,446	0,0150885	-0,0925631	-0,038366
1,448	0,00468289	-0,075396	-0,0499426
1,45	-0,0231963	-0,0774236	-0,0738188
1,452	-0,00793008	-0,0992031	-0,0783139
1,454	0,0123037	-0,102767	-0,0549598
1,456	-0,00796474	-0,0758874	-0,0331808
1,458	-0,0158687	-0,087394	-0,0350848
1,46	-0,0051071	-0,126319	-0,0690805
1,462	0,00491645	-0,112056	-0,076408
1,464	0,000452759	-0,0596292	-0,0501995
1,466	-0,0125457	-0,0600157	-0,0404437
1,468	-0,0111258	-0,10842	-0,0628258
1,47	0,00984338	-0,12306	-0,0700053
1,472	0,0106074	-0,0959718	-0,0500039
1,474	-0,00576543	-0,0773588	-0,0374756
1,476	-0,00605848	-0,090685	-0,0528518
1,478	0,00936377	-0,0935947	-0,0739635
1,48	0,00713062	-0,0828497	-0,0696354
1,482	-0,00913531	-0,083402	-0,0413021
1,484	0,00917551	-0,0889716	-0,0468349
1,486	0,033299	-0,111318	-0,0698175
1,488	0,00543056	-0,110107	-0,0735504
1,49	-0,0158737	-0,0722277	-0,0481969
1,492	0,00843555	-0,0720937	-0,0432657
1,494	0,0201869	-0,0979964	-0,0672588
1,496	-0,00215405	-0,093802	-0,0763584
1,498	-0,00330309	-0,0877518	-0,0608454
1,5	0,0206496	-0,106349	-0,0487173
1,502	0,0124962	-0,0946602	-0,059124
1,504	-0,0028223	-0,0689003	-0,0558599
1,506	0,00855953	-0,0826371	-0,0563956
1,508	0,00205761	-0,102625	-0,0813466
1,51	-0,0109446	-0,0893668	-0,0775338
1,512	0,00163662	-0,0798736	-0,044385
1,514	0,011048	-0,102593	-0,047529
1,516	0,013873	-0,110484	-0,0700377
1,518	0,00592329	-0,0796897	-0,0737708
1,52	-0,0117736	-0,0717597	-0,0639238
1,522	-0,00749722	-0,0934263	-0,0610153
1,524	0,0118466	-0,0955839	-0,0630068
1,526	0,00558129	-0,0857097	-0,0622328
1,528	-0,0094869	-0,0888869	-0,0507761
1,53	-0,00412124	-0,0968763	-0,0483469
1,532	0,01734	-0,0927199	-0,0614763
1,534	0,0129806	-0,0829647	-0,0687857
1,536	-0,0080534	-0,0713502	-0,0545373
1,538	-0,00138143	-0,0877834	-0,051118
1,54	0,011597	-0,117638	-0,0551823
1,542	0,00427827	-0,0925561	-0,0466159
1,544	0,00578844	-0,0598943	-0,0427236
1,546	0,0102644	-0,0876425	-0,063801
1,548	0,000440873	-0,107558	-0,0657831
1,55	0,00645383	-0,0789346	-0,0485428
1,552	0,0246137	-0,0743406	-0,0487355
1,554	0,0113585	-0,103947	-0,0520433
1,556	-0,00619252	-0,106966	-0,0491309
1,558	0,00374046	-0,0865204	-0,0552927
1,56	0,00676106	-0,0748486	-0,0596209
1,562	-0,0010448	-0,0775578	-0,0523114
1,564	0,0161829	-0,095081	-0,0566472
1,566	0,0189273	-0,103958	-0,0665842
1,568	-0,0092592	-0,0971182	-0,0505912
1,57	-0,0100246	-0,0970359	-0,043351
1,572	0,0127952	-0,0929039	-0,0724659
1,574	-0,000175103	-0,0803714	-0,0763882
1,576	-0,0195449	-0,0865301	-0,0432054
1,578	-0,00118355	-0,113719	-0,0453688
1,58	0,0121362	-0,108227	-0,0778428
1,582	-0,00205841	-0,0820252	-0,0742165
1,584	-0,0105516	-0,0993655	-0,044502
1,586	-0,00629147	-0,114603	-0,0468071
1,588	-0,0147274	-0,0843916	-0,0686571
1,59	-0,011397	-0,0705213	-0,0632348
1,592	0,00262501	-0,107242	-0,0497587
1,594	-0,00734687	-0,126692	-0,0595043
1,596	-0,01103	-0,0927566	-0,0613309
1,598	0,00222851	-0,0767443	-0,0448988
1,6	-0,00737892	-0,100586	-0,0491237
1,602	-0,0128768	-0,107529	-0,0629544
1,604	0,00287042	-0,0899973	-0,0571667
1,606	0,00790712	-0,0853441	-0,0491088
1,608	-0,00683621	-0,0980043	-0,0518746
1,61	-0,00960272	-0,101442	-0,0523335
1,612	0,0126237	-0,09024	-0,0469396
1,614	0,0128754	-0,0798958	-0,0523428
1,616	-0,00722227	-0,084496	-0,0575582
1,618	0,00698294	-0,103474	-0,0553626
1,62	0,0220693	-0,102087	-0,0570059
1,622	0,00398574	-0,0734346	-0,0577246
1,624	-0,00485038	-0,0756121	-0,0466784
1,626	0,00657026	-0,103566	-0,0459413
1,628	0,0172411	-0,0978641	-0,0625688
1,63	0,0134327	-0,0731556	-0,0685232
1,632	0,000178671	-0,0776973	-0,0614362
1,634	0,00820073	-0,100775	-0,0548205
1,636	0,0272301	-0,100485	-0,0519321
1,638	0,00961735	-0,0759623	-0,0559991
1,64	-0,0187772	-0,0728725	-0,0620776
1,642	-0,000504849	-0,093124	-0,0665841
1,644	0,0297636	-0,10045	-0,0710023
1,646	0,012289	-0,0913663	-0,0497811
1,648	-0,0099069	-0,065601	-0,0446132
1,65	0,00515136	-0,0848908	-0,0762117
1,652	0,0186434	-0,119657	-0,0837814
1,654	0,00973807	-0,0889758	-0,0421959
1,656	-0,0047176	-0,053039	-0,0346832
1,658	0,00513578	-0,074157	-0,0852011
1,66	0,0102372	-0,113808	-0,0900889
1,662	0,00136283	-0,101886	-0,0462008
1,664	0,0172973	-0,0701665	-0,0320209
1,666	0,0271351	-0,0696691	-0,0655887
1,668	0,0140479	-0,0960625	-0,0917732
1,67	0,0165709	-0,110261	-0,0709476
1,672	0,0151102	-0,0737811	-0,0384488
1,674	0,00651993	-0,0417108	-0,0395008
1,676	0,021125	-0,085965	-0,070638
1,678	0,031736	-0,130724	-0,0855995
1,68	0,0320662	-0,0899855	-0,0514745
1,682	0,0276699	-0,0464896	-0,0297376
1,684	0,0270477	-0,0736793	-0,046276
1,686	0,0303046	-0,106938	-0,0776245
1,688	0,0248083	-0,0950683	-0,075744
1,69	0,0159128	-0,0620389	-0,0476031
1,692	0,0173607	-0,0740869	-0,0234078
1,694	0,0403893	-0,109729	-0,040453
1,696	0,0562178	-0,100547	-0,0807547
1,698	0,028865	-0,0658751	-0,0767154
1,7	0,00493854	-0,063248	-0,0402892
1,702	0,0232574	-0,102434	-0,0431446
1,704	0,0392143	-0,112753	-0,0732898
1,706	0,027233	-0,0715106	-0,0630775
1,708	0,0120283	-0,0734729	-0,0398871
1,71	0,0222096	-0,119827	-0,05553
1,712	0,0327442	-0,108124	-0,0775547
1,714	0,0217699	-0,0564809	-0,0731626
1,716	0,0210501	-0,0738618	-0,0506045
1,718	0,0104103	-0,127833	-0,055141
1,72	0,00287045	-0,111004	-0,0734449
1,722	0,0293837	-0,0759295	-0,0527018
1,724	0,029262	-0,0794282	-0,041785
1,726	-0,00268104	-0,103231	-0,073431
1,728	0,00189774	-0,108863	-0,0826165
1,73	0,0317381	-0,0907906	-0,0532819
1,732	0,0316574	-0,0875298	-0,0448904
1,734	0,0105351	-0,103566	-0,0580085
1,736	0,0056636	-0,107933	-0,058736
1,738	0,018698	-0,0931526	-0,0598048
1,74	0,0163983	-0,0843962	-0,0679705
1,742	0,00492219	-0,0889869	-0,0510867
1,744	0,019378	-0,0934349	-0,0436392
1,746	0,034198	-0,110157	-0,0667087
1,748	0,0140424	-0,110777	-0,0680556
1,75	0,0104136	-0,0912626	-0,036524
1,752	0,0315433	-0,0833502	-0,0419127
1,754	0,0191723	-0,0846253	-0,0779522
1,756	-0,00739941	-0,100508	-0,0588273
1,758	0,0121641	-0,100202	-0,0290096
1,76	0,0358412	-0,0896718	-0,057105
1,762	0,0179968	-0,0983005	-0,0708611
1,764	0,00884955	-0,108592	-0,0343247
1,766	0,0174724	-0,0950585	-0,0358947
1,768	0,00877622	-0,0758371	-0,0759428
1,77	-0,00319228	-0,0892068	-0,0552292
1,772	-0,000269519	-0,113006	-0,0323405
1,774	0,0103493	-0,106445	-0,0520183
1,776	0,00592777	-0,0802943	-0,0533798
1,778	-0,00726619	-0,0860038	-0,0355739
1,78	0,00460599	-0,114817	-0,0566482
1,782	0,0143792	-0,098453	-0,0766807
1,784	-0,00396459	-0,0589275	-0,0416265
1,786	-0,0150933	-0,0876482	-0,0293654
1,788	-0,0160378	-0,128817	-0,0754288
1,79	-0,000766677	-0,0971894	-0,0784495
1,792	0,0120845	-0,0689226	-0,0266137
1,794	-0,00954978	-0,0842218	-0,0351908
1,796	-0,0224599	-0,093357	-0,0920976
1,798	0,0113366	-0,0972206	-0,0861586
1,8	0,019256	-0,102852	-0,0394357
1,802	-0,0237457	-0,0776401	-0,0288267
1,804	-0,0311191	-0,0639658	-0,0515471
1,806	0,0133067	-0,101099	-0,0680355
1,808	0,0187961	-0,111301	-0,0721039
1,81	-0,0146849	-0,0610089	-0,0458065
1,812	-0,00470729	-0,0523946	-0,0231143
1,814	0,0192935	-0,111196	-0,0546773
1,816	0,00852019	-0,116295	-0,0824767
1,818	-0,0103073	-0,0677949	-0,0385252
1,82	-0,00542466	-0,060426	-0,00983957
1,822	0,00478603	-0,0924346	-0,064672
1,824	0,00657204	-0,0998759	-0,0855534
1,826	0,0130681	-0,0818794	-0,0311385
1,828	0,014541	-0,0803113	-0,018447
1,83	0,00351106	-0,0841349	-0,0749139
1,832	0,00123038	-0,0913776	-0,0795918
1,834	0,00723373	-0,102697	-0,0327769
1,836	0,00587563	-0,0827003	-0,0283981
1,838	-0,00121669	-0,0559413	-0,0636168
1,84	0,00380214	-0,0932107	-0,0770864
1,842	0,0242773	-0,128836	-0,0651586
1,844	0,0222828	-0,0914576	-0,0558263
1,846	-0,00642675	-0,0612399	-0,0409205
1,848	-0,0144894	-0,0876883	-0,0470717
1,85	0,00598282	-0,119141	-0,0873554
1,852	0,0295871	-0,107294	-0,0818722
1,854	0,018057	-0,070082	-0,0363077
1,856	-0,0102182	-0,0795733	-0,0407849
1,858	0,00358889	-0,124765	-0,0849101
1,86	0,0243757	-0,120219	-0,0755717
1,862	0,00634558	-0,0766446	-0,0323449
1,864	0,0116467	-0,0678459	-0,0372077
1,866	0,0287352	-0,110013	-0,0873359
1,868	0,01535	-0,129794	-0,088968
1,87	0,0169607	-0,0974645	-0,0283424
1,872	0,0177867	-0,0647586	-0,0141694
1,874	0,00778471	-0,0818031	-0,0730971
1,876	0,0256818	-0,123671	-0,0971171
1,878	0,0476577	-0,114395	-0,060134
1,88	0,0404307	-0,0805327	-0,0228393
1,882	0,0186755	-0,0781613	-0,0390483
1,884	0,016457	-0,100058	-0,0803616
1,886	0,0429423	-0,110959	-0,087512
1,888	0,0399432	-0,0910716	-0,0544089
1,89	0,0131601	-0,0707278	-0,0263642
1,892	0,0416372	-0,0872784	-0,048333
1,894	0,0720401	-0,121066	-0,0923264
1,896	0,0394754	-0,110956	-0,0777317
1,898	0,0122159	-0,0634051	-0,0334621
1,9	0,0260134	-0,0595272	-0,0471241
1,902	0,0377077	-0,107606	-0,082644
1,904	0,0423351	-0,124144	-0,0613662
1,906	0,0444577	-0,0847578	-0,0316839
1,908	0,0284602	-0,0636045	-0,0605818
1,91	0,019474	-0,0968294	-0,0841027
1,912	0,0351643	-0,118501	-0,060626
1,914	0,0431176	-0,0832108	-0,0445761
1,916	0,0177283	-0,0576659	-0,0559899
1,918	0,00753092	-0,100274	-0,0531835
1,92	0,038624	-0,137682	-0,0533051
1,922	0,0450102	-0,0928155	-0,068359
1,924	0,0121553	-0,0332334	-0,0635708
1,926	0,010585	-0,0714843	-0,0469512
1,928	0,032218	-0,147894	-0,056582
1,93	0,0355379	-0,115305	-0,0629516
1,932	0,0231989	-0,0371509	-0,0393159
1,934	0,00821351	-0,066881	-0,0421561
1,936	0,0121264	-0,133822	-0,0825334
1,938	0,0308427	-0,103569	-0,0782712
1,94	0,0344225	-0,0400442	-0,0286363
1,942	0,0167409	-0,0678408	-0,0284419
1,944	0,0122878	-0,131427	-0,0758598
1,946	0,0352729	-0,118328	-0,0779995
1,948	0,032956	-0,058218	-0,0430922
1,95	0,000502663	-0,0471538	-0,0349963
1,952	0,00709184	-0,0931123	-0,0553983
1,954	0,0425867	-0,118527	-0,0663355
1,956	0,033041	-0,0879255	-0,0531916
1,958	0,00123005	-0,060494	-0,0356971
1,96	0,0106465	-0,0873677	-0,0447672
1,962	0,0277972	-0,114223	-0,0674657
1,964	0,0119333	-0,0816771	-0,0574384
1,966	0,000336601	-0,0520635	-0,0338815
1,968	0,00578638	-0,0977357	-0,0435438
1,97	0,0133558	-0,131797	-0,0683747
1,972	0,0181832	-0,0838377	-0,0596028
1,974	-0,00250805	-0,0581184	-0,0381731
1,976	-0,012227	-0,0959096	-0,0479062
1,978	0,0116273	-0,124414	-0,0681776
1,98	0,0195055	-0,0958969	-0,0607391
1,982	-0,00854579	-0,0677684	-0,0406741
1,984	-0,0239451	-0,0873499	-0,0451145
1,986	0,00724568	-0,11938	-0,0715316
1,988	0,0169372	-0,113732	-0,0652084
1,99	-0,0177673	-0,0705484	-0,0326046
1,992	-0,0152816	-0,0748861	-0,033938
1,994	0,0134251	-0,121052	-0,0816716
1,996	-0,000505554	-0,123894	-0,0847493
1,998	-0,0171699	-0,0768021	-0,0302758
2	-0,000957146	-0,0721935	-0,0144321
2,002	0,00430703	-0,113613	-0,0605626
2,004	-0,000624206	-0,115304	-0,0887457
2,006	0,0035924	-0,0928461	-0,0583277
2,008	0,0111766	-0,0858481	-0,0222203
2,01	0,00359878	-0,0917809	-0,0345321
2,012	-0,0014497	-0,0969497	-0,0674101
2,014	0,0179403	-0,0981851	-0,0666562
2,016	0,0211542	-0,0967925	-0,0376238
2,018	-0,00160791	-0,0895783	-0,0354445
2,02	0,00101905	-0,0920922	-0,0510368
2,022	0,0209604	-0,0926077	-0,0627464
2,024	0,0217397	-0,0863343	-0,0641376
2,026	0,016313	-0,100784	-0,0403254
2,028	0,0121801	-0,103249	-0,0282364
2,03	0,015934	-0,0874272	-0,0591339
2,032	0,0221579	-0,0835785	-0,0818574
2,034	0,0158525	-0,0881682	-0,0496435
2,036	0,0098583	-0,0899504	-0,0270255
2,038	0,0234414	-0,0954214	-0,060594
2,04	0,0322033	-0,0971493	-0,0693933
2,042	0,0203973	-0,0894683	-0,0437022
2,044	0,0142014	-0,0907392	-0,0434579
2,046	0,0171532	-0,0949688	-0,0643583
2,048	0,0191519	-0,0822698	-0,060118
2,05	0,0243924	-0,0805472	-0,0429384
2,052	0,0204271	-0,0925843	-0,0461277
2,054	0,014029	-0,102799	-0,0567187
2,056	0,0280049	-0,0977142	-0,0595758
2,058	0,0391365	-0,0817188	-0,0552289
2,06	0,020434	-0,0712939	-0,0489369
2,062	0,00935448	-0,08592	-0,0474012
2,064	0,0296545	-0,107885	-0,0615667
2,066	0,051449	-0,0946566	-0,0678317
2,068	0,0366371	-0,0749211	-0,0449104
2,07	0,0202043	-0,0839744	-0,034477
2,072	0,0363717	-0,0961172	-0,0624384
2,074	0,0510426	-0,0778852	-0,0803202
2,076	0,042581	-0,0654863	-0,048198
2,078	0,0378303	-0,0920139	-0,0254403
2,08	0,0429624	-0,104511	-0,0600767
2,082	0,0448426	-0,0754959	-0,083973
2,084	0,0427104	-0,065911	-0,0462537
2,086	0,0445921	-0,0892613	-0,0233992
2,088	0,049531	-0,093849	-0,0626805
2,09	0,0512962	-0,0830465	-0,0827524
2,092	0,0485389	-0,0816287	-0,0532907
2,094	0,044462	-0,085426	-0,0366327
2,096	0,0430238	-0,0868866	-0,0479051
2,098	0,0480978	-0,0809969	-0,0569591
2,1	0,0464686	-0,0779455	-0,0647844
2,102	0,0411917	-0,0853695	-0,0613638
2,104	0,043406	-0,0973738	-0,044266
2,106	0,047907	-0,096316	-0,0464303
2,108	0,0419504	-0,0781862	-0,0659627
2,11	0,0277378	-0,0776616	-0,062425
2,112	0,025439	-0,0991883	-0,0460335
2,114	0,0403602	-0,104096	-0,0543581
2,116	0,039289	-0,0854954	-0,0656237
2,118	0,0239516	-0,08006	-0,0563151
2,12	0,0253336	-0,0999148	-0,0497536
2,122	0,0292094	-0,101679	-0,0638054
2,124	0,0244563	-0,0808914	-0,0650843
2,126	0,0255536	-0,088446	-0,0470985
2,128	0,0308242	-0,109104	-0,0456018
2,13	0,0253176	-0,100678	-0,0622037
2,132	0,0159359	-0,0790226	-0,066187
2,134	0,0194295	-0,082319	-0,0507918
2,136	0,0290284	-0,100808	-0,0444948
2,138	0,0248696	-0,100686	-0,0544844
2,14	0,0154636	-0,0859012	-0,0558778
2,142	0,0159519	-0,0871226	-0,0545068
2,144	0,0263011	-0,0987411	-0,0566919
2,146	0,0221467	-0,0952065	-0,0499003
2,148	0,00545364	-0,080697	-0,0448638
2,15	0,00907923	-0,0852621	-0,0577894
2,152	0,0243603	-0,104317	-0,0620446
2,154	0,0260837	-0,10317	-0,0433557
2,156	0,0181234	-0,0835794	-0,0356599
2,158	0,00822493	-0,0728263	-0,0566951
2,16	0,00778068	-0,0850953	-0,0655033
2,162	0,0117396	-0,0992246	-0,0473264
2,164	0,0122691	-0,0905866	-0,0364504
2,166	0,00877809	-0,0796437	-0,04264
2,168	0,00384819	-0,0901241	-0,0563771
2,17	0,00506586	-0,101351	-0,0574675
2,172	0,00463433	-0,0884221	-0,0501543
2,174	-0,0036023	-0,0765228	-0,0466034
2,176	-0,0045174	-0,0900092	-0,0482414
2,178	-0,00176954	-0,105561	-0,049651
2,18	-0,00281084	-0,0956405	-0,0512782
2,182	-0,00450845	-0,078895	-0,0537932
2,184	-0,00416352	-0,0780516	-0,053208
2,186	0,000565152	-0,0946476	-0,0489578
2,188	-0,00434591	-0,0998855	-0,050669
2,19	-0,0124934	-0,0841067	-0,0554669
2,192	-0,00547453	-0,0835483	-0,0533336
2,194	0,00584114	-0,0965553	-0,0515033
2,196	-0,00361866	-0,0953024	-0,054163
2,198	-0,0134231	-0,0836359	-0,0501033
2,2	-0,00400196	-0,0807996	-0,0551546
2,202	0,00143899	-0,0922412	-0,0643017
2,204	0,000807815	-0,0987822	-0,0513246
2,206	0,00564971	-0,0882112	-0,0372214
2,208	0,00043579	-0,0826358	-0,0567776
2,21	-0,0022812	-0,08889	-0,0664728
2,212	0,00544819	-0,0928606	-0,043319
2,214	0,00977429	-0,0909172	-0,0380486
2,216	0,0150017	-0,0881548	-0,0518522
2,218	0,00987379	-0,0844457	-0,0566345
2,22	0,00882146	-0,0943811	-0,0467615
2,222	0,0190927	-0,0981589	-0,0428891
2,224	0,0133542	-0,0804744	-0,0460338
2,226	0,00644048	-0,0803807	-0,0476124
2,228	0,0142943	-0,102864	-0,0508529
2,23	0,0126871	-0,0999587	-0,0535389
2,232	0,0163196	-0,0827985	-0,0475059
2,234	0,0247331	-0,090524	-0,0455479
2,236	0,0170546	-0,107481	-0,0547312
2,238	0,0130208	-0,100033	-0,0567174
2,24	0,0179395	-0,0848494	-0,0534805
2,242	0,0156977	-0,0890179	-0,055094
2,244	0,0229196	-0,100749	-0,056959
2,246	0,0315442	-0,10306	-0,0552632
2,248	0,023409	-0,0955487	-0,0534865
2,25	0,0185759	-0,091286	-0,0563218
2,252	0,0240345	-0,0984406	-0,0629594
2,254	0,0281934	-0,105288	-0,0620255
2,256	0,0281923	-0,0995905	-0,0494958
2,258	0,0233561	-0,0902223	-0,0496064
2,26	0,0267967	-0,099643	-0,0616862
2,262	0,0333626	-0,116918	-0,0595612
2,264	0,0352954	-0,101608	-0,0456926
2,266	0,0364271	-0,0814531	-0,0465767
2,268	0,0324008	-0,0935868	-0,0595809
2,27	0,0334718	-0,108786	-0,0615214
2,272	0,0497878	-0,104548	-0,0487569
2,274	0,0524148	-0,0930422	-0,0373862
2,276	0,0385177	-0,0902563	-0,0408113
2,278	0,0414909	-0,0989854	-0,0617142
2,28	0,060136	-0,101295	-0,0695618
2,282	0,0537243	-0,0871696	-0,0529402
2,284	0,0434754	-0,0813626	-0,036244
2,286	0,0566008	-0,101243	-0,0462517
2,288	0,0586405	-0,109445	-0,0703445
2,29	0,0469917	-0,0863157	-0,0704842
2,292	0,0489926	-0,0754624	-0,0496021
2,294	0,0569891	-0,0925857	-0,0490981
2,296	0,0568761	-0,100642	-0,0660469
2,298	0,0485935	-0,0902077	-0,068932
2,3	0,0493266	-0,0873217	-0,0573189
2,302	0,0560118	-0,0958429	-0,0539513
2,304	0,050753	-0,0936828	-0,0617235
